date,ticker,signals_summary,bullish_squeeze_label,bullish_squeeze_score,bearish_squeeze_label,bearish_squeeze_score
2026-06-16,AAPL,VOLATILITY/STRONG @ $298.87 (0.00%) | MAGNET/STRONG @ $300.00 (+0.38%) | VOLATILITY/STRONG @ $240.00 (-19.70%),possible,45,not_shown,
2026-06-16,MSFT,VOLATILITY/STRONG @ $393.12 (0.00%) | SUPPORT/MODERATE @ $380.24 (-3.27%) | VOLATILITY/STRONG @ $380.00 (-3.34%),unlikely,25,unlikely,25
2026-06-16,NVDA,VOLATILITY/STRONG @ $207.54 (0.00%) | MAGNET/STRONG @ $210.00 (+1.19%) | VOLATILITY/STRONG @ $185.00 (-10.86%),possible,40,not_shown,
2026-06-16,GOOGL,VOLATILITY/STRONG @ $371.74 (0.00%) | VOLATILITY/STRONG @ $345.00 (-7.19%),possible,35,unlikely,20
2026-06-16,META,VOLATILITY/STRONG @ $597.92 (0.00%) | VOLATILITY/STRONG @ $550.00 (-8.02%),unlikely,25,unlikely,20
2026-06-16,AMZN,VOLATILITY/STRONG @ $245.84 (0.00%) | MAGNET/STRONG @ $250.00 (+1.69%) | VOLATILITY/STRONG @ $220.00 (-10.51%),possible,40,not_shown,
2026-06-16,TSLA,VOLATILITY/STRONG @ $402.82 (0.00%) | SUPPORT/MODERATE @ $388.10 (-3.66%) | VOLATILITY/STRONG @ $380.00 (-5.67%),possible,30,unlikely,20
2026-06-17,AAPL,VOLATILITY/STRONG @ $297.37 (0.00%) | MAGNET/STRONG @ $300.00 (+0.89%) | VOLATILITY/STRONG @ $240.00 (-19.29%),possible,45,not_shown,
2026-06-17,MSFT,VOLATILITY/MODERATE @ $380.85 (0.00%) | MAGNET/STRONG @ $380.00 (-0.22%) | VOLATILITY/STRONG @ $380.00 (-0.22%),,,likely,55
2026-06-17,NVDA,VOLATILITY/STRONG @ $205.44 (0.00%) | MAGNET/STRONG @ $205.00 (-0.22%) | VOLATILITY/STRONG @ $205.00 (-0.22%),possible,35,possible,40
2026-06-17,GOOGL,VOLATILITY/STRONG @ $363.60 (0.00%) | MAGNET/STRONG @ $370.00 (+1.76%) | VOLATILITY/STRONG @ $355.00 (-2.36%),possible,40,possible,30
2026-06-17,META,VOLATILITY/MODERATE @ $573.30 (0.00%) | SUPPORT/MODERATE @ $560.82 (-2.18%) | VOLATILITY/STRONG @ $550.00 (-4.06%),possible,40,possible,40
2026-06-17,AMZN,VOLATILITY/STRONG @ $238.62 (0.00%) | MAGNET/STRONG @ $237.50 (-0.47%) | VOLATILITY/STRONG @ $237.50 (-0.47%),,,possible,40
2026-06-17,TSLA,VOLATILITY/STRONG @ $397.13 (0.00%) | MAGNET/STRONG @ $395.00 (-0.54%) | VOLATILITY/STRONG @ $395.00 (-0.54%),,,possible,40
2026-06-18,AAPL,VOLATILITY/STRONG @ $297.81 (0.00%) | MAGNET/STRONG @ $300.00 (+0.74%) | VOLATILITY/STRONG @ $240.00 (-19.41%),possible,45,not_shown,
2026-06-18,MSFT,VOLATILITY/STRONG @ $379.60 (0.00%) | MAGNET/STRONG @ $380.00 (+0.11%) | VOLATILITY/STRONG @ $375.00 (-1.21%),possible,45,likely,55
2026-06-18,NVDA,VOLATILITY/STRONG @ $210.66 (0.00%) | MAGNET/STRONG @ $210.00 (-0.31%) | SUPPORT/MODERATE @ $203.57 (-3.36%),possible,45,not_shown,
2026-06-18,GOOGL,VOLATILITY/STRONG @ $367.30 (0.00%) | MAGNET/STRONG @ $370.00 (+0.74%) | VOLATILITY/STRONG @ $360.00 (-1.99%),possible,45,possible,35
2026-06-18,META,VOLATILITY/STRONG @ $577.20 (0.00%) | VOLATILITY/STRONG @ $550.00 (-4.71%),unlikely,25,unlikely,25
2026-06-18,AMZN,VOLATILITY/STRONG @ $243.56 (0.00%) | MAGNET/STRONG @ $242.50 (-0.44%) | VOLATILITY/STRONG @ $230.00 (-5.57%),possible,45,not_shown,
2026-06-18,TSLA,VOLATILITY/STRONG @ $399.38 (0.00%) | MAGNET/STRONG @ $402.50 (+0.78%) | VOLATILITY/STRONG @ $350.00 (-12.36%),possible,45,not_shown,
2026-06-19,AAPL,VOLATILITY/STRONG @ $297.23 (0.00%) | VOLATILITY/STRONG @ $240.00 (-19.25%),possible,30,unlikely,20
2026-06-19,MSFT,VOLATILITY/STRONG @ $379.08 (0.00%) | VOLATILITY/STRONG @ $370.00 (-2.40%),unlikely,25,possible,30
2026-06-19,NVDA,VOLATILITY/STRONG @ $210.31 (0.00%) | VOLATILITY/STRONG @ $185.00 (-12.03%),possible,30,unlikely,20
2026-06-19,GOOGL,VOLATILITY/STRONG @ $366.30 (0.00%) | VOLATILITY/STRONG @ $345.00 (-5.81%),unlikely,25,unlikely,20
2026-06-19,META,VOLATILITY/STRONG @ $574.64 (0.00%) | VOLATILITY/STRONG @ $550.00 (-4.29%),unlikely,25,unlikely,25
2026-06-19,AMZN,VOLATILITY/STRONG @ $243.09 (0.00%) | VOLATILITY/STRONG @ $230.00 (-5.39%),possible,35,unlikely,20
2026-06-19,TSLA,VOLATILITY/STRONG @ $398.79 (0.00%) | VOLATILITY/STRONG @ $350.00 (-12.23%),unlikely,25,unlikely,20
2026-06-22,AAPL,VOLATILITY/STRONG @ $296.43 (0.00%) | VOLATILITY/STRONG @ $240.00 (-19.04%),possible,30,unlikely,20
2026-06-22,MSFT,VOLATILITY/STRONG @ $368.75 (0.00%) | SUPPORT/MODERATE @ $355.99 (-3.46%) | VOLATILITY/STRONG @ $350.00 (-5.08%),unlikely,20,unlikely,25
2026-06-22,NVDA,VOLATILITY/STRONG @ $208.03 (0.00%) | VOLATILITY/STRONG @ $200.00 (-3.86%),unlikely,25,unlikely,25
2026-06-22,GOOGL,VOLATILITY/STRONG @ $348.40 (0.00%) | MAGNET/STRONG @ $350.00 (+0.46%) | VOLATILITY/STRONG @ $345.00 (-0.98%),,,possible,40
2026-06-22,META,VOLATILITY/STRONG @ $563.78 (0.00%) | VOLATILITY/STRONG @ $550.00 (-2.45%) | SUPPORT/MODERATE @ $542.96 (-3.69%),unlikely,25,possible,30
2026-06-22,AMZN,VOLATILITY/STRONG @ $233.81 (0.00%) | VOLATILITY/STRONG @ $230.00 (-1.63%) | SUPPORT/MODERATE @ $223.03 (-4.61%),unlikely,25,possible,35
2026-06-22,TSLA,VOLATILITY/STRONG @ $404.63 (0.00%) | MAGNET/STRONG @ $405.00 (+0.09%) | VOLATILITY/STRONG @ $350.00 (-13.50%),possible,45,not_shown,
